customer_id,age,gender,visits_last_month,avg_purchase_value,loyalty_score,discount_offer,churned,counterfactual_churned,noise,has_review,complaint_text,review_timestamp
CUST_00000,40,male,4,137.12,0.508,0,1,1,0.0189,1,Delivery was on time. Product was fine.,2023-02-21
CUST_00001,34,male,4,76.5,0.399,1,0,0,0.0277,1,Okay experience overall.,2023-04-12
CUST_00002,41,male,5,94.23,0.434,0,0,0,-0.0579,0,,
CUST_00003,50,male,4,83.93,0.354,0,0,1,0.1024,0,,
CUST_00004,33,female,7,95.27,0.514,0,1,0,0.005,0,,
CUST_00005,33,male,5,39.87,0.346,0,0,1,0.0272,0,,
CUST_00006,51,male,5,153.98,0.526,0,0,0,0.0044,0,,
CUST_00007,43,female,5,90.86,0.419,0,0,0,0.0472,1,Okay experience overall.,2023-04-07
CUST_00008,30,male,2,123.61,0.471,0,0,0,-0.0251,1,Delivery was on time. Product was fine.,2023-02-26
CUST_00009,40,female,3,107.36,0.42,0,0,0,-0.0654,0,,
CUST_00010,30,female,5,91.85,0.471,0,1,0,-0.0059,1,"Nothing special, but not bad either.",2023-01-14
CUST_00011,30,male,3,61.69,0.359,1,1,1,0.024,0,,
CUST_00012,37,female,3,72.58,0.356,0,0,1,-0.0173,0,,
CUST_00013,18,female,2,92.93,0.45,0,0,0,-0.0336,1,Okay experience overall.,2023-03-19
CUST_00014,18,male,5,85.76,0.504,1,0,1,0.0174,1,Okay experience overall.,2023-06-17
CUST_00015,29,male,4,70.79,0.406,0,1,0,-0.0464,1,Okay experience overall.,2023-05-27
CUST_00016,25,female,8,79.39,0.533,0,0,0,0.049,1,Delivery was on time. Product was fine.,2023-04-10
CUST_00017,38,non-binary,7,113.83,0.535,1,0,1,-0.0156,0,,
CUST_00018,26,female,0,126.31,0.445,1,1,1,0.0249,0,,
CUST_00019,21,male,5,65.01,0.447,0,1,1,-0.0581,0,,
CUST_00020,50,female,7,73.6,0.401,1,0,0,0.0677,0,,
CUST_00021,33,male,2,106.45,0.422,0,1,0,0.0234,0,,
CUST_00022,36,female,8,95.1,0.525,0,1,0,0.0307,0,,
CUST_00023,21,female,3,89.01,0.453,0,0,0,-0.0645,0,,
CUST_00024,30,female,2,127.67,0.48,1,0,0,-0.0375,0,,
CUST_00025,36,female,7,105.54,0.525,0,0,0,0.01,1,Okay experience overall.,2023-03-03
CUST_00026,23,female,3,51.31,0.363,0,0,0,-0.0541,1,Delivery was on time. Product was fine.,2023-01-13
CUST_00027,39,female,4,76.02,0.379,0,0,0,-0.0313,1,Delivery was on time. Product was fine.,2023-04-20
CUST_00028,29,male,6,50.17,0.407,1,0,0,0.0378,1,Delivery was on time. Product was fine.,2023-01-12
CUST_00029,32,female,7,94.62,0.516,0,1,1,-0.0303,1,Okay experience overall.,2023-05-22
CUST_00030,29,non-binary,3,60.16,0.359,0,0,1,0.0187,0,,
CUST_00031,54,male,2,47.17,0.211,1,0,1,-0.0414,0,,
CUST_00032,35,female,7,38.34,0.382,1,0,0,0.03,0,,
CUST_00033,24,male,3,159.53,0.596,1,0,0,-0.056,0,,
CUST_00034,43,female,5,59.04,0.35,0,0,0,0.0297,1,Delivery was on time. Product was fine.,2023-03-08
CUST_00035,23,female,3,90.53,0.449,0,0,0,0.1082,1,"Nothing special, but not bad either.",2023-03-12
CUST_00036,37,male,2,101.78,0.396,1,1,0,-0.0267,0,,
CUST_00037,18,female,5,103.57,0.543,1,0,0,-0.0331,1,Okay experience overall.,2023-04-07
CUST_00038,22,male,5,118.63,0.561,0,1,0,0.057,1,Okay experience overall.,2023-05-29
CUST_00039,37,female,10,98.47,0.576,1,1,1,0.0032,1,Okay experience overall.,2023-04-19
CUST_00040,42,female,5,86.39,0.413,1,0,0,-0.0585,1,Okay experience overall.,2023-04-18
