customer_id,preferred_category,discount_suggestion,is_feasible,is_best_feasible,age,gender,tenure_months,hour_spend_on_app,visits_last_month,avg_purchase_value,number_devices,preferred_payment,delivery_distance_km,satisfaction_score,loyalty_score,discount_offer,churned,predicted_churn
1,Laptop & Accessory,Offer discount on Laptop & Accessory,0,0,34,male,10.7,3.8,1,55.37,3,UPI,1.3,5.0,0.221,0.0,1,1
1,Laptop & Accessory,Offer discount on Laptop & Accessory,0,0,34,male,10.7,3.8,1,55.37,3,UPI,1.3,3,0.335,0.0,1,1
1,Laptop & Accessory,Offer discount on Laptop & Accessory,0,0,34,male,10.7,3.8,1,55.37,3,UPI,1.3,3,0.357,0.0,1,1
4,Laptop & Accessory,Offer discount on Laptop & Accessory,1,1,33,female,9.5,3.5,3,83.93,3,Debit Card,9.1,2,0.52,1.0,0,0
4,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,33,female,9.5,3.5,3,83.93,3,Debit Card,9.1,2,0.163,1.0,0,0
4,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,33,female,9.5,3.5,3,83.93,3,Debit Card,9.1,2,0.864,1.0,0,0
8,Mobile,Offer discount on Mobile,1,1,31,male,10.0,5.3,3,105.08,3,Debit Card,10.9,4,0.513,1.0,0,0
8,Mobile,Offer discount on Mobile,1,0,31,male,10.0,5.3,3,105.08,3,Debit Card,10.9,4,0.49,1.0,0,0
8,Mobile,Offer discount on Mobile,1,0,31,male,10.0,5.3,3,105.08,3,Debit Card,10.9,4,0.947,0,0,0
10,Mobile,Offer discount on Mobile,1,1,31,female,16.9,6.0,4,191.89,2,Credit Card,8.1,5,0.393,1.0,0,0
10,Mobile,Offer discount on Mobile,1,0,31,female,16.9,6.0,4,191.89,2,Credit Card,8.1,5,0.399,1.0,0,0
10,Mobile,Offer discount on Mobile,1,0,31,female,16.9,6.0,4,191.89,2,Credit Card,8.1,5,0.781,1.0,0,0
11,Fashion,Offer discount on Fashion,1,1,31,male,20.7,7.4,5,112.22,2,Credit Card,18.5,4,0.563,1.0,0,0
11,Fashion,Offer discount on Fashion,1,0,31,male,20.7,7.4,5,112.22,2,Credit Card,18.5,4,0.967,0,0,0
11,Fashion,Offer discount on Fashion,1,0,31,male,20.7,7.4,5,112.22,2,Credit Card,18.5,4,0.138,1.0,0,0
16,Fashion,Offer discount on Fashion,1,1,25,female,9.5,6.8,3,188.26,2,UPI,12.3,5,0.391,1.0,0,0
16,Fashion,Offer discount on Fashion,1,0,25,female,9.5,6.8,3,188.26,2,UPI,12.3,5,0.891,1.0,0,0
16,Fashion,Offer discount on Fashion,1,0,25,female,9.5,6.8,3,188.26,2,UPI,12.3,5,0.282,1.0,0,0
19,Home & Kitchen,Offer discount on Home & Kitchen,1,1,20,male,4.8,4.6,4,100.93,2,E Wallet,13.1,2,0.985,0.0,0,0
19,Home & Kitchen,Offer discount on Home & Kitchen,1,0,20,male,4.8,4.6,4,100.93,2,E Wallet,13.1,2.0,0.88,0,0,0
19,Home & Kitchen,Offer discount on Home & Kitchen,1,0,20,male,4.8,4.6,4,100.93,2,E Wallet,13.1,2,0.269,1.0,0,0
24,Fashion,Offer discount on Fashion,1,1,30,female,20.9,4.7,4,43.83,3,Cash on Delivery,13.0,3.0,0.901,0,0,0
24,Fashion,Offer discount on Fashion,1,0,30,female,20.9,4.7,4,43.83,3,Cash on Delivery,13.0,2,0.769,1.0,0,0
24,Fashion,Offer discount on Fashion,1,0,30,female,20.9,4.7,4,43.83,3,Cash on Delivery,13.0,2,0.954,1.0,0,0
26,Laptop & Accessory,Offer discount on Laptop & Accessory,1,1,23,female,17.2,6.2,3,65.17,3,UPI,9.9,3,0.345,1.0,0,0
26,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,23,female,17.2,6.2,3,65.17,3,UPI,9.9,3,0.573,1.0,0,0
26,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,23,female,17.2,6.2,3,65.17,3,UPI,9.9,3,0.35,1.0,0,0
28,Mobile,Offer discount on Mobile,0,0,29,male,5.9,3.3,3,246.54,3,E Wallet,13.8,4,0.674,0.0,1,1
28,Mobile,Offer discount on Mobile,0,0,29,male,5.9,3.3,3,246.54,3,E Wallet,13.8,4,0.002,0.0,1,1
28,Mobile,Offer discount on Mobile,0,0,29,male,5.9,3.3,3,246.54,3,E Wallet,13.8,4,0.388,0.0,1,1
38,Mobile,Offer discount on Mobile,0,0,21,male,11.0,4.4,0,84.39,1,Credit Card,24.6,3,0.495,0.0,1,1
38,Mobile,Offer discount on Mobile,0,0,21,male,11.0,4.4,0,84.39,1,Credit Card,24.6,1.0,0.201,0.0,1,1
38,Mobile,Offer discount on Mobile,0,0,21,male,11.0,4.4,0,84.39,1,Credit Card,24.6,3,0.747,0.0,1,1
40,Grocery,Offer discount on Grocery,0,0,44,male,11.5,2.8,4,50.16,2,UPI,14.8,2,0.325,0.0,1,1
40,Grocery,Offer discount on Grocery,0,0,44,male,11.5,2.8,4,50.16,2,UPI,14.8,2,0.426,0.0,1,1
40,Grocery,Offer discount on Grocery,0,0,44,male,11.5,2.8,4,50.16,2,UPI,14.8,2,0.48,0.0,1,1
42,Laptop & Accessory,Offer discount on Laptop & Accessory,1,1,35,male,9.3,5.9,7,110.28,2,UPI,14.8,4,0.621,1.0,0,0
42,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,35,male,9.3,5.9,7,110.28,2,UPI,14.8,4,0.937,0,0,0
42,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,35,male,9.3,5.9,7,110.28,2,UPI,14.8,4,0.44,1.0,0,0
45,Fashion,Offer discount on Fashion,0,0,28,female,29.2,5.5,3,87.74,3,E Wallet,7.7,4,0.051,0.0,1,1
45,Fashion,Offer discount on Fashion,0,0,28,female,29.2,5.5,3,87.74,3,E Wallet,7.7,4,0.223,0.0,1,1
45,Fashion,Offer discount on Fashion,0,0,28,female,29.2,5.5,3,87.74,3,E Wallet,7.7,4,0.247,0.0,1,1
46,Mobile,Offer discount on Mobile,1,1,31,male,6.2,1.4,2,54.81,1,Credit Card,3.1,2,0.09,1.0,0,0
46,Mobile,Offer discount on Mobile,1,0,31,male,6.2,1.4,2,54.81,1,Credit Card,3.1,1.0,0.989,0,0,0
46,Mobile,Offer discount on Mobile,1,0,31,male,6.2,1.4,2,54.81,1,Credit Card,3.1,1.0,0.877,0,0,0
48,Home & Kitchen,Offer discount on Home & Kitchen,1,1,40,male,11.0,5.9,6,47.64,1,UPI,4.8,4,0.003,1.0,0,0
48,Home & Kitchen,Offer discount on Home & Kitchen,1,0,40,male,11.0,5.9,6,47.64,1,UPI,4.8,2.0,0.935,0,0,0
48,Home & Kitchen,Offer discount on Home & Kitchen,1,0,40,male,11.0,5.9,6,47.64,1,UPI,4.8,4,0.201,1.0,0,0
49,Mobile,Offer discount on Mobile,1,1,18,female,4.9,4.4,3,64.29,2,Debit Card,12.5,4,0.924,1.0,0,0
49,Mobile,Offer discount on Mobile,1,0,18,female,4.9,4.4,3,64.29,2,Debit Card,12.5,4,0.669,1.0,0,0
49,Mobile,Offer discount on Mobile,1,0,18,female,4.9,4.4,3,64.29,2,Debit Card,12.5,4,0.917,0,0,0
51,Home & Kitchen,Offer discount on Home & Kitchen,0,0,32,male,10.8,3.4,2,61.25,1,E Wallet,11.9,2,0.522,0.0,1,1
51,Home & Kitchen,Offer discount on Home & Kitchen,0,0,32,male,10.8,3.4,2,61.25,1,E Wallet,11.9,2,0.675,0.0,1,1
51,Home & Kitchen,Offer discount on Home & Kitchen,0,0,32,male,10.8,3.4,2,61.25,1,E Wallet,11.9,2,0.571,0.0,1,1
52,Home & Kitchen,Offer discount on Home & Kitchen,1,1,29,female,13.9,8.3,11,57.63,3,Debit Card,10.9,3,0.646,1.0,0,0
52,Home & Kitchen,Offer discount on Home & Kitchen,1,0,29,female,13.9,8.3,11,57.63,3,Debit Card,10.9,3,0.257,1.0,0,0
52,Home & Kitchen,Offer discount on Home & Kitchen,1,0,29,female,13.9,8.3,11,57.63,3,Debit Card,10.9,3,0.89,1.0,0,0
58,Laptop & Accessory,Offer discount on Laptop & Accessory,0,0,40,female,12.4,6.7,6,134.33,2,Credit Card,15.7,3,0.567,0.0,1,1
58,Laptop & Accessory,Offer discount on Laptop & Accessory,0,0,40,female,12.4,6.7,6,134.33,2,Credit Card,15.7,3,0.618,0.0,1,1
58,Laptop & Accessory,Offer discount on Laptop & Accessory,0,0,40,female,12.4,6.7,6,134.33,2,Credit Card,15.7,3,0.851,0.0,1,1
62,Fashion,Offer discount on Fashion,1,1,24,male,10.0,4.8,1,175.95,3,Debit Card,6.0,4,0.365,1.0,0,0
62,Fashion,Offer discount on Fashion,1,0,24,male,10.0,4.8,1,175.95,3,Debit Card,6.0,4,0.108,1.0,0,0
62,Fashion,Offer discount on Fashion,1,0,24,male,10.0,4.8,1,175.95,3,Debit Card,6.0,4,0.401,1.0,0,0
66,Home & Kitchen,Offer discount on Home & Kitchen,1,1,35,male,20.2,5.9,3,81.52,2,E Wallet,15.3,3,1.0,0,0,0
66,Home & Kitchen,Offer discount on Home & Kitchen,1,0,35,male,20.2,5.9,3,81.52,2,E Wallet,15.3,3,0.995,0,0,0
66,Home & Kitchen,Offer discount on Home & Kitchen,1,0,35,male,20.2,5.9,3,81.52,2,E Wallet,15.3,3,0.255,1.0,0,0
68,Mobile,Offer discount on Mobile,1,1,40,male,16.3,7.0,4,76.14,3,UPI,13.6,4,0.931,1.0,0,0
68,Mobile,Offer discount on Mobile,1,0,40,male,16.3,7.0,4,76.14,3,UPI,13.6,4,0.255,1.0,0,0
68,Mobile,Offer discount on Mobile,1,0,40,male,16.3,7.0,4,76.14,3,UPI,13.6,4,0.916,0,0,0
72,Fashion,Offer discount on Fashion,1,1,36,female,18.2,7.7,0,112.54,2,UPI,12.7,4,0.877,0,0,0
72,Fashion,Offer discount on Fashion,1,0,36,female,18.2,7.7,0,112.54,2,UPI,12.7,4,0.671,1.0,0,0
72,Fashion,Offer discount on Fashion,1,0,36,female,18.2,7.7,0,112.54,2,UPI,12.7,4,0.513,1.0,0,0
73,Mobile,Offer discount on Mobile,1,1,53,female,12.9,4.9,2,72.02,3,Credit Card,8.3,3,0.485,1.0,0,0
73,Mobile,Offer discount on Mobile,1,0,53,female,12.9,4.9,2,72.02,3,Credit Card,8.3,3,0.144,1.0,0,0
73,Mobile,Offer discount on Mobile,1,0,53,female,12.9,4.9,2,72.02,3,Credit Card,8.3,3,0.196,1.0,0,0
77,Mobile,Offer discount on Mobile,0,0,33,male,11.6,6.7,5,70.1,2,Credit Card,7.3,4,0.522,0.0,1,1
77,Mobile,Offer discount on Mobile,0,0,33,male,11.6,6.7,5,70.1,2,Credit Card,7.3,4,0.454,0.0,1,1
77,Mobile,Offer discount on Mobile,0,0,33,male,11.6,6.7,5,70.1,2,Credit Card,7.3,4,0.373,0.0,1,1
79,Fashion,Offer discount on Fashion,1,1,18,female,4.8,6.5,3,109.44,4,Credit Card,6.0,5.0,0.932,0,0,0
79,Fashion,Offer discount on Fashion,1,0,18,female,4.8,6.5,3,109.44,4,Credit Card,6.0,3,0.658,1.0,0,0
79,Fashion,Offer discount on Fashion,1,0,18,female,4.8,6.5,3,109.44,4,Credit Card,6.0,3,0.915,0,0,0
93,Fashion,Offer discount on Fashion,1,1,32,female,30.9,8.0,4,115.08,2,Debit Card,3.2,3,0.448,1.0,0,0
93,Fashion,Offer discount on Fashion,1,0,32,female,30.9,8.0,4,115.08,2,Debit Card,3.2,3,0.301,1.0,0,0
93,Fashion,Offer discount on Fashion,1,0,32,female,30.9,8.0,4,115.08,2,Debit Card,3.2,3.0,0.986,0,0,0
94,Laptop & Accessory,Offer discount on Laptop & Accessory,1,1,32,male,27.5,7.4,3,149.42,3,Debit Card,8.7,2.0,0.902,0,0,0
94,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,32,male,27.5,7.4,3,149.42,3,Debit Card,8.7,5,0.46,1.0,0,0
94,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,32,male,27.5,7.4,3,149.42,3,Debit Card,8.7,5,0.881,0,0,0
96,Mobile,Offer discount on Mobile,0,0,39,female,37.0,10.4,3,133.4,5,Credit Card,19.1,4,0.774,0.0,1,1
96,Mobile,Offer discount on Mobile,0,0,39,female,37.0,10.4,3,133.4,5,Credit Card,19.1,4,0.682,0.0,1,1
96,Mobile,Offer discount on Mobile,0,0,39,female,37.0,10.4,3,133.4,5,Credit Card,19.1,4,0.72,0.0,1,1
103,Home & Kitchen,Offer discount on Home & Kitchen,1,1,27,female,9.6,5.8,3,81.81,3,Debit Card,11.9,3,0.579,1.0,0,0
103,Home & Kitchen,Offer discount on Home & Kitchen,1,0,27,female,9.6,5.8,3,81.81,3,Debit Card,11.9,3,0.382,1.0,0,0
103,Home & Kitchen,Offer discount on Home & Kitchen,1,0,27,female,9.6,5.8,3,81.81,3,Debit Card,11.9,3,0.798,1.0,0,0
107,Mobile,Offer discount on Mobile,0,0,38,male,30.9,7.1,5,97.8,3,Credit Card,6.6,4,0.491,0.0,1,1
107,Mobile,Offer discount on Mobile,0,0,38,male,30.9,7.1,5,97.8,3,Credit Card,6.6,4,0.751,0.0,1,1
107,Mobile,Offer discount on Mobile,0,0,38,male,30.9,7.1,5,97.8,3,Credit Card,6.6,4,0.404,0.0,1,1
108,Mobile,Offer discount on Mobile,1,1,39,male,14.8,4.2,4,100.83,2,Cash on Delivery,9.4,4,0.68,1.0,0,0
108,Mobile,Offer discount on Mobile,1,0,39,male,14.8,4.2,4,100.83,2,Cash on Delivery,9.4,4,0.661,1.0,0,0
108,Mobile,Offer discount on Mobile,1,0,39,male,14.8,4.2,4,100.83,2,Cash on Delivery,9.4,4,0.985,0.0,0,0
111,Mobile,Offer discount on Mobile,1,1,36,female,19.4,6.8,6,77.22,2,UPI,16.9,4,0.376,1.0,0,0
111,Mobile,Offer discount on Mobile,1,0,36,female,19.4,6.8,6,77.22,2,UPI,16.9,4,0.367,1.0,0,0
111,Mobile,Offer discount on Mobile,1,0,36,female,19.4,6.8,6,77.22,2,UPI,16.9,5.0,0.93,0,0,0
113,Grocery,Offer discount on Grocery,1,1,63,female,15.7,2.5,3,75.28,2,Cash on Delivery,14.4,2,0.767,1.0,0,0
113,Grocery,Offer discount on Grocery,1,0,63,female,15.7,2.5,3,75.28,2,Cash on Delivery,14.4,2,0.763,1.0,0,0
113,Grocery,Offer discount on Grocery,1,0,63,female,15.7,2.5,3,75.28,2,Cash on Delivery,14.4,2,0.332,1.0,0,0
