age,tenure_months,hour_spend_on_app,visits_last_month,avg_purchase_value,number_devices,delivery_distance_km,satisfaction_score,loyalty_score,gender,preferred_payment,preferred_category,discount_offer,review_text
42,27.3,8.1,4,57.3,3,5.9,5,0.598,male,UPI,Laptop & Accessory,0,Experience was fine overall.
46,21.7,5.9,0,48.49,4,12.8,3,0.28,male,Credit Card,Laptop & Accessory,0,
35,8.5,2.8,4,51.05,3,13.7,2,0.235,female,UPI,Fashion,0,
36,16.5,5.5,2,116.62,3,10.3,4,0.366,female,Credit Card,Fashion,1,
47,30.7,4.8,4,107.21,4,18.3,3,0.206,female,UPI,Laptop & Accessory,1,
26,5.8,5.5,2,63.81,2,13.2,3,0.145,male,Debit Card,Home & Kitchen,0,"Late deliveries, no offers."
35,7.5,3.8,3,219.01,3,10.8,3,0.411,female,Cash on Delivery,Fashion,1,Average service.
27,10.1,7.0,3,97.25,1,5.1,5,0.352,male,E Wallet,Fashion,1,Experience was fine overall.
18,4.1,5.8,4,72.46,1,13.0,3,0.459,male,UPI,Home & Kitchen,0,"App was fine, but moving on."
39,10.4,3.2,4,34.87,1,7.3,2,0.33,female,Debit Card,Home & Kitchen,1,
23,8.5,5.1,7,210.69,2,16.2,3,0.591,non-binary,E Wallet,Laptop & Accessory,1,
40,19.0,5.6,1,184.19,3,12.3,4,0.384,male,Debit Card,Grocery,1,"App was fine, but moving on."
35,7.6,5.0,4,115.59,3,8.0,4,0.455,female,Credit Card,Laptop & Accessory,1,
27,22.7,6.0,4,147.85,2,8.3,4,0.45,female,Credit Card,Home & Kitchen,0,
52,13.8,8.6,2,112.9,3,22.6,3,0.431,male,E Wallet,Mobile,0,Experience was fine overall.
19,15.1,6.9,8,117.37,2,1.0,4,0.498,female,Credit Card,Mobile,0,
41,14.1,5.6,5,156.48,2,18.9,4,0.594,female,UPI,Mobile,0,
34,51.0,9.3,6,147.28,5,11.0,5,0.564,female,Debit Card,Home & Kitchen,1,Nothing special but acceptable.
37,17.9,6.7,9,186.71,2,9.5,4,0.625,female,Credit Card,Fashion,0,Great perks—staying!
42,12.0,4.0,2,117.07,3,5.7,4,0.355,female,E Wallet,Home & Kitchen,0,
53,15.9,5.8,3,119.37,2,12.7,3,0.441,male,UPI,Mobile,0,
33,7.5,6.6,2,170.53,2,19.9,4,0.43,male,E Wallet,Grocery,1,
45,18.5,4.5,6,111.25,5,7.7,3,0.517,female,UPI,Laptop & Accessory,0,Average service.
36,20.2,5.5,3,59.98,3,9.7,4,0.469,female,UPI,Laptop & Accessory,0,Nothing special but acceptable.
49,27.1,7.7,3,87.14,3,6.5,4,0.54,female,Debit Card,Home & Kitchen,1,Experience was fine overall.
31,15.4,5.0,2,111.89,4,10.3,3,0.396,female,Debit Card,Fashion,1,
37,38.9,7.8,7,73.61,4,12.0,4,0.733,female,UPI,Laptop & Accessory,1,
75,29.9,6.3,1,106.46,4,12.3,4,0.499,female,Debit Card,Laptop & Accessory,0,
44,24.9,7.7,4,97.72,3,10.6,4,0.658,male,Debit Card,Home & Kitchen,1,
20,31.8,7.5,5,82.98,4,13.5,5,0.668,male,Debit Card,Mobile,0,Switching for better prices.
35,10.7,6.5,3,108.78,4,14.3,3,0.362,female,UPI,Mobile,0,Experience was fine overall.
39,25.1,6.2,5,102.73,5,11.8,5,0.635,female,E Wallet,Mobile,1,"Loyal customer, happy so far."
54,13.7,7.4,4,70.93,2,6.2,3,0.489,non-binary,Debit Card,Laptop & Accessory,0,Nothing special but acceptable.
46,18.1,4.5,4,106.63,3,8.4,3,0.394,male,Credit Card,Mobile,0,
