customer_id,age,gender,tenure_months,hour_spend_on_app,visits_last_month,avg_purchase_value,number_devices,preferred_payment,preferred_category,delivery_distance_km,satisfaction_score,loyalty_score,discount_offer,churned,counterfactual_churned,p_churn_model,p_churn_cf_model,has_review,review_text,review_score
CUST_000000,41,male,10.3,6.5,3,49.73,2,Credit Card,Fashion,11.5,3,0.45,1,0,1,0.1897,0.3713,1,Nothing special but acceptable.,3
CUST_000001,34,male,10.7,3.8,1,55.37,3,UPI,Laptop & Accessory,1.3,3,0.221,1,1,1,0.1897,0.3449,0,,
CUST_000002,43,male,44.1,7.8,1,97.06,5,Credit Card,Home & Kitchen,13.8,3,0.527,1,0,0,0.1141,0.2524,0,,
CUST_000003,53,male,27,5.2,5,129.83,4,Debit Card,Mobile,3.8,4,0.322,0,0,0,0.3208,0.1664,1,Experience was fine overall.,3
CUST_000004,33,female,9.5,3.5,3,83.93,3,Debit Card,Laptop & Accessory,9.1,2,0.326,0,1,1,0.3625,0.1935,1,"App was fine, but moving on.",2
CUST_000005,33,male,14.5,6.5,4,92.59,2,Debit Card,Fashion,3.9,4,0.41,1,0,0,0.1715,0.3385,1,Nothing special but acceptable.,3
CUST_000006,53,male,17,7.8,8,86.51,4,Credit Card,Fashion,11.2,3,0.452,0,0,0,0.1207,0.0516,0,,
CUST_000007,44,female,16,5.4,7,98.95,1,E Wallet,Mobile,2.5,4,0.512,0,0,0,0.3959,0.2012,1,Average service.,3
CUST_000008,31,male,10,5.3,3,105.08,3,Debit Card,Mobile,10.9,4,0.391,0,1,1,0.3855,0.204,0,,
CUST_000009,42,female,12,4,2,117.07,3,E Wallet,Home & Kitchen,5.7,4,0.355,0,0,1,0.2381,0.115,0,,
CUST_000010,31,female,16.9,6,4,191.89,2,Credit Card,Mobile,8.1,5,0.358,0,1,0,0.2171,0.1032,1,"App was fine, but moving on.",2
CUST_000011,31,male,20.7,7.4,5,112.22,2,Credit Card,Fashion,18.5,4,0.538,0,1,1,0.2789,0.128,1,"App was fine, but moving on.",2
CUST_000012,39,female,28.6,7.9,5,133.79,3,Debit Card,Laptop & Accessory,5.5,5,0.651,0,0,0,0.1238,0.0482,1,Great perks—staying!,4
CUST_000013,18,female,3.7,6,4,122.86,1,Cash on Delivery,Laptop & Accessory,7.9,4,0.332,1,0,0,0.1308,0.2636,0,,
CUST_000014,18,male,19.3,5.2,3,135.91,4,Debit Card,Mobile,7.6,4,0.483,1,0,0,0.1557,0.321,1,Nothing special but acceptable.,3
CUST_000015,30,male,8.3,4.5,2,103.88,2,Credit Card,Home & Kitchen,8.3,4,0.516,0,0,0,0.1592,0.0677,0,,
CUST_000016,25,female,9.5,6.8,3,188.26,2,UPI,Fashion,12.3,5,0.522,0,1,0,0.366,0.1809,0,,
CUST_000017,39,female,31.1,8.1,5,42.47,3,UPI,Laptop & Accessory,9.4,3,0.506,0,0,0,0.2149,0.0955,1,Experience was fine overall.,3
CUST_000018,26,female,10.3,5.4,9,86.69,3,Credit Card,Mobile,7.3,4,0.627,1,0,1,0.0925,0.2193,0,,
CUST_000019,20,male,4.8,4.6,4,100.93,2,E Wallet,Home & Kitchen,13.1,2,0.527,0,1,1,0.4372,0.2287,0,,
CUST_000020,52,female,13.3,7.5,7,69.48,3,Credit Card,Laptop & Accessory,1,3,0.559,0,0,1,0.3955,0.1972,1,Nothing special but acceptable.,3
CUST_000021,34,male,12.9,5.2,3,173.85,1,Debit Card,Laptop & Accessory,21.4,4,0.485,0,0,1,0.4859,0.2692,1,Nothing special but acceptable.,3
CUST_000022,37,female,21.7,7.4,5,37.92,3,Debit Card,Mobile,10.2,3,0.515,0,0,0,0.2466,0.1116,1,Nothing special but acceptable.,3
CUST_000023,20,female,61.4,8.5,6,97.78,6,Debit Card,Mobile,11.1,5,0.644,0,0,0,0.2066,0.0857,1,Great perks—staying!,4
CUST_000024,30,female,20.9,4.7,4,43.83,3,Cash on Delivery,Fashion,13,2,0.332,0,1,1,0.3635,0.1937,0,,
CUST_000025,37,female,28.3,9.1,5,82.33,2,Credit Card,Laptop & Accessory,10.9,5,0.922,1,0,0,0.0827,0.2236,0,,
